marca,modelo,transmision,combustible,propulsion,cilindrada,carroceria,co2,ciudad,carretera,mixto
Kia,Carens LX 1.5L 6MT,M,Gasolina,Combustión,1.5,Station Wagon,165,10.8,16.5,13.8
DFLM,T5 EVO 1.5,A,Gasolina,Combustión,1.5,Station Wagon,162,10.8,18.2,14.5
DFM,T5 EVO 1.5,A,Gasolina,Combustión,1.5,Station Wagon,162,10.8,18.2,14.5
Kia,Carens LX 1.5 IVT,A,Gasolina,Combustión,1.5,Station Wagon,151,12.3,17.4,15.1
Skoda,Fabia 1.0 TSI 110 hp 6MT,M,Gasolina,Combustión,1.0,Hatchback,119,15.9,22.0,19.3
Volkswagen,Jetta 1.4 T/M,M,Gasolina,Combustión,1.4,Sedán,141,12.0,20.0,16.1
Kia,Carens EX 1.4T-GDI 7DCT,A,Gasolina,Combustión,1.4,Station Wagon,150,12.7,17.3,15.2
Opel,Combo L1 1.6 HDi 92,M,Diésel ,Combustión,1.6,Furgón,139,16.7,20.0,18.9
Opel,Combo L2 1.6 HDi 92,M,Diésel ,Combustión,1.6,Furgón,139,16.7,20.0,18.9
Volvo,C40 P8 Recharge,A,N/A,Vehículo eléctrico,0.0,Hatchback,-,-,-,-
Citroen,Spacetourer XL BlueHDi 150 STT BVM6 Business,M,Diésel ,Combustión,2.0,Minibus,147,16.6,18.8,17.9
Peugeot,Partner L2 1.6 HDI 92,M,Diésel ,Combustión,1.6,Furgón,139,16.7,20.1,18.9
Peugeot,Partner L1 1.6 HDI 92,M,Diésel ,Combustión,1.6,Furgón,139,16.7,20.1,18.9
Kia,Niro HEV 1.6L 6DCT GDI,A,Gasolina/Híbrido,Vehículos híbridos sin recarga exterior,1.6,Station Wagon,91,24.8,24.8,25.1
Porsche,Taycan 4S Cross Turismo,A,N/A,Vehículo eléctrico,0.0,Station Wagon,-,-,-,-
Porsche,Taycan Turbo Cross Turismo,A,N/A,Vehículo eléctrico,0.0,Station Wagon,-,-,-,-
Skoda,Fabia 1.0 TSI 95 HP 5MT,M,Gasolina,Combustión,1.0,Hatchback,104,16.7,26.9,22.0
Land Rover,Range Rover Sport 5.0 SC SVR,A,Gasolina,Combustión,5.0,Station Wagon,297,5.7,9.4,7.6
Porsche,Taycan GTS,A,N/A,Vehículo eléctrico,0.0,Sedán,-,-,-,-
